dtstart,dtend,dtstamp,created,description,last-modified,location,sequence,status,summary
"2015-11-10","2015-11-11","2023-11-14T20:34:34Z","2015-11-14T00:47:15Z","","2015-11-14T00:47:15Z","","0","CONFIRMED","Menstruation starts (late)"
"2015-12-23T17:00:00Z","2015-12-23T18:00:00Z","2023-11-14T20:34:34Z","2015-12-22T19:07:35Z","Dr. Yuliya Bababekova ","2015-12-22T19:08:05Z","655 Pelham Pkwy N\nBronx, NY, United States","0","CONFIRMED","Eyeglasses"
"2016-05-13T13:00:00Z","2016-05-13T20:00:00Z","2023-11-14T20:34:34Z","2016-05-07T14:02:07Z","","2016-05-07T14:02:07Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-05-12T17:00:00Z","2016-05-12T23:45:00Z","2023-11-14T20:34:34Z","2016-05-07T14:00:28Z","","2016-05-07T14:02:56Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-05-07T19:00:00Z","2016-05-07T22:00:00Z","2023-11-14T20:34:34Z","2016-05-07T14:03:42Z","","2016-05-07T14:04:48Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-05-20T16:00:00Z","2016-05-21T00:00:00Z","2023-11-14T20:34:34Z","2016-05-18T23:15:29Z","","2016-05-18T23:15:42Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-05-21T17:00:00Z","2016-05-22T00:00:00Z","2023-11-14T20:34:34Z","2016-05-18T23:16:31Z","","2016-05-18T23:16:31Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-05-25T16:15:00Z","2016-05-25T23:30:00Z","2023-11-14T20:34:34Z","2016-05-22T17:12:16Z","","2016-05-22T17:12:16Z","","0","CONFIRMED","Cashier-McDonald's"
"2016-05-27T16:00:00Z","2016-05-27T21:00:00Z","2023-11-14T20:34:34Z","2016-05-22T17:12:16Z","","2016-05-22T17:12:16Z","","0","CONFIRMED","Cashier-McDonald's"
"2016-05-28T15:00:00Z","2016-05-28T22:00:00Z","2023-11-14T20:34:34Z","2016-05-22T17:12:17Z","","2016-05-22T17:12:17Z","","0","CONFIRMED","Cashier-McDonald's"
"2016-05-23T18:00:00Z","2016-05-23T23:00:00Z","2023-11-14T20:34:34Z","2016-05-22T17:12:17Z","","2016-05-22T17:12:17Z","","0","CONFIRMED","Cashier-McDonald's"
"2016-08-19","2016-08-20","2023-11-14T20:34:34Z","2016-02-29T02:57:43Z","","2016-05-24T01:30:17Z","","1","CONFIRMED","Joel's Birthday"
"2016-04-01","2016-04-02","2023-11-14T20:34:34Z","2016-05-24T01:30:17Z","","2016-05-24T01:30:17Z","","0","CONFIRMED","Virginia's Birthday"
