dtstart,dtend,dtstamp,created,description,last-modified,location,sequence,status,summary
"2023-12-14T11:30:00","2023-12-14T13:30:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","","2023-10-22T21:28:00Z","","0","","POLSCI FINAL"
"2023-08-30T11:30:00","2023-08-30T12:20:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-10-22T21:28:00Z","West Building W208","0","","POLSC 11000 American Gov: Historical Intro at Hunter College"
"2023-08-29T19:00:00","2023-08-29T20:15:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-10-22T21:28:00Z","West Building W615","0","","CSCI 26000 Computer Architecture 2 at Hunter College"
"2023-08-28T19:00:00","2023-08-28T20:15:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-10-22T21:28:00Z","Online Courses 01","0","","CLA 10100 Classical Mythology at Hunter College"
"2023-08-28T11:30:00","2023-08-28T12:45:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-10-22T21:28:00Z","West Building W207","0","","CHIN 20100 Intermediate Chinese 1 at Hunter College"
"2023-08-28T10:30:00","2023-08-28T11:20:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-10-22T21:28:00Z","West Building W615","0","","POLSC 11000 American Gov: Historical Intro at Hunter College"
"2023-08-16T13:30:00","2023-08-16T15:30:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","","2023-10-22T21:28:00Z","1 Manhattan West, 395 9th Ave, New York, NY 10001","0","","Accenture meeting"
"2023-08-27T10:00:00","2023-08-27T11:00:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","","2023-10-22T21:28:00Z","","0","","New Event"
"2023-07-26T17:00:00","2023-07-26T20:00:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","","2023-10-22T21:28:00Z","","0","","BTT"
"2023-08-29T17:30:00","2023-08-29T18:45:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","","2023-11-17T20:05:25Z","HN531","1","","CSCI49369"
"2023-08-29T19:00:00","2023-08-29T20:15:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-11-17T20:05:35Z","West Building W615","1","","CSCI 26000 Computer Architecture 2 at Hunter College"
"2023-08-28T11:30:00","2023-08-28T12:45:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-11-17T20:05:12Z","West Building W207","1","","CHIN 20100 Intermediate Chinese 1 at Hunter College"
"2023-08-28T19:00:00","2023-08-28T20:15:00","2023-11-20T15:07:01Z","2023-10-22T21:28:00Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-11-17T20:05:32Z","Online Courses 01","1","","CLA 10100 Classical Mythology at Hunter College"
"2023-08-28T10:30:00","2023-08-28T11:20:00","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-11-17T20:05:09Z","West Building W615","1","","POLSC 11000 American Gov: Historical Intro at Hunter College"
"2023-08-30T11:30:00","2023-08-30T12:20:00","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","The following information couldn’t be added to Exchange:\ntime zone:Floating","2023-11-17T20:04:48Z","West Building W208","1","","POLSC 11000 American Gov: Historical Intro at Hunter College"
"2023-07-03","2023-07-04","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","","0","","265 midterm 2"
"2023-06-29T20:00:00","2023-06-29T21:00:00","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","","0","","265 Office hour"
"2023-06-14T17:00:00","2023-06-14T20:00:00","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Bloomberg Building Rooms 061/071, Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","Wednesday Section - Machine Learning Foundations Lab 2"
"2023-06-07T17:00:00","2023-06-07T20:00:00","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Bloomberg Building Rooms 061/071, Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","Wednesday Section - Machine Learning Foundations Lab 1"
"2023-07-12T17:00:00","2023-07-12T20:00:00","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Bloomberg Building Rooms 061/071, Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","Wednesday Section - Machine Learning Foundations Lab 5"
"2023-06-21T17:00:00","2023-06-21T20:00:00","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Bloomberg Building Rooms 061/071, Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","Wednesday Section - Machine Learning Foundations Lab 3"
"2023-11-11T14:00:00Z","2023-11-11T22:00:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","AI Studio Maker Day 3"
"2023-08-15T13:30:00Z","2023-08-15T22:00:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","Bridge to Studio Day 2"
"2023-08-16T13:30:00Z","2023-08-16T21:30:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","Bridge to Studio Day 3"
"2023-10-07T13:00:00Z","2023-10-07T21:00:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","AI Studio Maker Day 2"
"2024-01-20T14:00:00Z","2024-01-20T22:00:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","AI Studio Spring Kickoff"
"2024-04-20T13:00:00Z","2024-04-20T21:00:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:01Z","","2023-10-22T21:28:01Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","Break Through Tech AI Closing Celebration"
"2023-08-14T13:15:00Z","2023-08-14T21:15:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:02Z","","2023-10-22T21:28:02Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","Bridge to Studio Day 1"
"2023-09-09T13:00:00Z","2023-09-09T21:00:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:02Z","","2023-10-22T21:28:02Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","AI Studio Maker Day 1"
"2024-02-24T14:00:00Z","2024-02-24T22:00:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:02Z","","2023-10-22T21:28:02Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","AI Studio Maker Day 4"
"2024-03-23T13:00:00Z","2024-03-23T21:00:00Z","2023-11-20T15:07:01Z","2023-10-22T21:28:02Z","","2023-10-22T21:28:02Z","Cornell Tech, 2 W Loop Rd, New York, NY 10044, USA","0","","AI Studio Maker Day 5"
"2023-08-11","2023-08-12","2023-11-20T15:07:01Z","2023-10-22T21:28:02Z","","2023-10-22T21:28:02Z","","0","","Lab 8A/B due by 11:59 p.m. ET"
"2023-06-07T15:30:00","2023-06-07T16:30:00","2023-11-20T15:07:01Z","2023-10-22T21:28:02Z","","2023-10-22T21:28:02Z","","0","","Office Hours w/ Prof. Abdelfattah"
